"gene_id","hms_id","class_min","Approved.Symbol"
3717,10140,1,"JAK2"
3718,10140,2,"JAK3"
3791,10140,10,"KDR"
3932,10140,10,"LCK"
3984,10140,10,"LIMK1"
4058,10140,10,"LTK"
4067,10140,10,"LYN"
4117,10140,10,"MAK"
4145,10140,10,"MATK"
4214,10140,10,"MAP3K1"
4216,10140,10,"MAP3K4"
4217,10140,10,"MAP3K5"
4233,10140,10,NA
4296,10140,10,"MAP3K11"
4486,10140,10,"MST1R"
4593,10140,10,"MUSK"
4638,10140,10,"MYLK"
4751,10140,10,"NEK2"
4914,10140,10,"NTRK1"
4921,10140,10,"DDR2"
5058,10140,10,"PAK1"
5062,10140,10,"PAK2"
5129,10140,10,"CDK18"
5156,10140,10,"PDGFRA"
5170,10140,10,"PDPK1"
5218,10140,10,"CDK14"
5260,10140,10,"PHKG1"
5288,10140,10,"PIK3C2G"
5290,10140,10,"PIK3CA"
5291,10140,10,"PIK3CB"
5292,10140,10,"PIM1"
5347,10140,10,"PLK1"
5566,10140,10,"PRKACA"
5583,10140,10,"PRKCH"
5584,10140,10,"PRKCI"
5588,10140,10,"PRKCQ"
5592,10140,10,"PRKG1"
5593,10140,10,"PRKG2"
5594,10140,10,"MAPK1"
5595,10140,10,"MAPK3"
5596,10140,10,"MAPK4"
5600,10140,10,"MAPK11"
5603,10140,10,"MAPK13"
5604,10140,10,"MAP2K1"
5605,10140,10,"MAP2K2"
5607,10140,10,"MAP2K5"
5608,10140,10,"MAP2K6"
5609,10140,10,"MAP2K7"
5747,10140,10,"PTK2"
5753,10140,10,"PTK6"
5894,10140,10,"RAF1"
6011,10140,10,"GRK1"
6098,10140,10,"ROS1"
6195,10140,10,"RPS6KA1"
6196,10140,10,"RPS6KA2"
6197,10140,10,"RPS6KA3"
6198,10140,10,"RPS6KB1"
6300,10140,10,"MAPK12"
6714,10140,10,"SRC"
6725,10140,10,"SRMS"
6787,10140,10,"NEK4"
6789,10140,10,"STK4"
6793,10140,10,"STK10"
7006,10140,10,"TEC"
7010,10140,10,"TEK"
7016,10140,10,"TESK1"
7046,10140,10,"TGFBR1"
7048,10140,10,"TGFBR2"
7075,10140,10,"TIE1"
7294,10140,10,"TXK"
7301,10140,10,"TYRO3"
7444,10140,10,"VRK2"
7465,10140,10,"WEE1"
7525,10140,10,"YES1"
7535,10140,10,"ZAP70"
7786,10140,10,"MAP3K12"
8396,10140,10,"PIP4K2B"
8445,10140,10,"DYRK2"
8569,10140,10,"MKNK1"
8573,10140,10,"CASK"
8621,10140,10,"CDK13"
8767,10140,10,"RIPK2"
8780,10140,2,"RIOK3"
8986,10140,10,"RPS6KA4"
9024,10140,10,"BRSK2"
9064,10140,10,"MAP3K6"
9088,10140,10,"PKMYT1"
9113,10140,10,"LATS1"
9149,10140,10,"DYRK1B"
9175,10140,10,"MAP3K13"
9261,10140,10,"MAPKAPK2"
9344,10140,10,"TAOK2"
9448,10140,10,"MAP4K4"
9748,10140,10,"SLK"
9833,10140,10,"MELK"
10000,10140,10,"AKT3"
10188,10140,10,"TNK2"
10298,10140,10,"PAK4"
10461,10140,10,"MERTK"
10746,10140,10,"MAP3K2"
11011,10140,10,"TLK2"
11040,10140,10,"PIM2"
11183,10140,10,"MAP4K5"
11200,10140,10,"CHEK2"
22858,10140,10,"ICK"
23097,10140,10,"CDK19"
23387,10140,10,"SIK3"
27102,10140,10,"EIF2AK1"
27148,10140,10,"STK36"
30811,10140,10,"HUNK"
50488,10140,10,"MINK1"
51086,10140,10,"TNNI3K"
51347,10140,10,"TAOK3"
51701,10140,10,"NLK"
51765,10140,10,"STK26"
51776,10140,10,"MAP3K20"
53904,10140,10,"MYO3A"
53944,10140,10,"CSNK1G1"
54861,10140,10,"SNRK"
55351,10140,10,"STK32B"
55561,10140,10,"CDC42BPG"
56924,10140,10,"PAK6"
56997,10140,10,"COQ8A"
65125,10140,10,"WNK1"
65267,10140,10,"WNK3"
65975,10140,10,"STK33"
79858,10140,10,"NEK11"
83942,10140,10,"TSSK1B"
84446,10140,10,"BRSK1"
122011,10140,10,"CSNK1A1L"
131890,10140,10,"GRK7"
140469,10140,10,"MYO3B"
140803,10140,10,"TRPM6"
167359,10140,10,"NIM1K"
202374,10140,10,"STK32A"
255239,10140,10,"ANKK1"
282974,10140,10,"STK32C"
285220,10140,10,"EPHA6"
340156,10140,2,"MYLK4"
415116,10140,10,"PIM3"
494551,10140,10,"WEE2"
812762,10140,10,NA
813841,10140,10,NA
100130827,10140,10,"SBK3"
100526835,10140,10,"FPGT-TNNI3K"
102800317,10140,10,NA
106821730,10140,10,NA
25,10141,1,"ABL1"
27,10141,2,"ABL2"
90,10141,2,"ACVR1"
91,10141,3,"ACVR1B"
92,10141,10,"ACVR2A"
93,10141,10,"ACVR2B"
94,10141,3,"ACVRL1"
202,10141,2,"AIM1"
207,10141,10,"AKT1"
208,10141,10,"AKT2"
238,10141,2,"ALK"
558,10141,2,"AXL"
640,10141,2,"BLK"
657,10141,10,"BMPR1A"
658,10141,2,"BMPR1B"
659,10141,3,"BMPR2"
660,10141,3,"BMX"
673,10141,3,"BRAF"
695,10141,2,"BTK"
780,10141,3,"DDR1"
814,10141,10,"CAMK4"
815,10141,2,"CAMK2A"
816,10141,3,"CAMK2B"
817,10141,2,"CAMK2D"
818,10141,2,"CAMK2G"
984,10141,10,"CDK11B"
1017,10141,10,"CDK2"
1018,10141,10,"CDK3"
1019,10141,3,"CDK4"
1020,10141,10,"CDK5"
1022,10141,2,"CDK7"
1024,10141,10,"CDK8"
1025,10141,3,"CDK9"
1033,10141,10,"CDKN3"
1111,10141,3,"CHEK1"
1147,10141,2,"CHUK"
1195,10141,3,"CLK1"
1196,10141,3,"CLK2"
1198,10141,10,"CLK3"
1263,10141,3,"PLK3"
1432,10141,10,"MAPK14"
1436,10141,2,"CSF1R"
1445,10141,3,"CSK"
1452,10141,10,"CSNK1A1"
1453,10141,10,"CSNK1D"
1454,10141,10,"CSNK1E"
1455,10141,10,"CSNK1G2"
1456,10141,10,"CSNK1G3"
1457,10141,2,"CSNK2A1"
1459,10141,2,"CSNK2A2"
1612,10141,1,"DAPK1"
1613,10141,1,"DAPK3"
1760,10141,3,"DMPK"
1859,10141,10,"DYRK1A"
