ID	symbol	synonyms	ensembl
41197857	Gng5-ps2	LOC120093568	
41197903	LOC120096414	U2	ENSRNOG00000064502
41197927	LOC120099544	U2	ENSRNOG00000062658
41197928	LOC120098053	U6	ENSRNOG00000052457
41197952	LOC120095747	AABR07034600.1	ENSRNOG00000059060
41197998	Nono-ps4	LOC120097479	
41198301	LOC120098802		
41198326	LOC120103077		
41198355	Atp5pf-ps2	LOC120102452	
41198486	LOC120095916		
41198576	LOC120097768		
41198719	Pcbp4-ps5	LOC120094616	
41198720	LOC120101341		ENSRNOG00000067566
41198723	LOC120095179		ENSRNOG00000069592
41198727	Pam-ps1	LOC120102551	
41198857	LOC120098153		
41198911	LOC120102772		ENSRNOG00000070547
41198934	Phf11bl1	LOC120097163	
41199054	Nsa2-ps5	LOC120101918	
41199103	Trnav-aac19	NEWGENE_40933816;Trnav-aac	
41199149	LOC120097152		
41199188	Trnag-ucc11	NEWGENE_41004142;Trnag-ucc	
41199189	LOC120103139		
41199209	Snord45l1	AABR07064747.2;LOC120093415	ENSRNOG00000058915
41199271	LOC120094144		
41199361	LOC120096563	AABR07014301.2	ENSRNOG00000050982
41199365	Rnu6-1015	LOC120103230;U6	ENSRNOG00000060805
41199385	LOC120101328	AABR07012754.1	ENSRNOG00000061123
41199427	LOC120098220		
41199432	LOC120094508	AABR07069066.1	ENSRNOG00000055808
41199509	LOC120101580		
41199544	LOC120099227		ENSRNOG00000029497
41199718	LOC120095907		
41199722	LOC120093055	AABR07001573.1	ENSRNOG00000052521
41199725	LOC120098816		
41199729	Or10g6	LOC120094367	ENSRNOG00000064020
41199734	LOC120102216		
41199780	LOC120103232	U6	ENSRNOG00000060295
41199827	LOC120093371	ENSRNOG00000070538	ENSRNOG00000070538
41199834	LOC120101329	AABR07009800.1	ENSRNOG00000051871
41199887	LOC120099980		
41199942	LOC120098010		ENSRNOG00000067009
41200047	LOC120097925		
41200052	LOC120093931	U7	ENSRNOG00000056800
41200055	LOC120101603		
41200060	LOC120095355	U6	ENSRNOG00000057893
41200147	LOC120102584	U6	ENSRNOG00000057090
41200237	LOC120100330		ENSRNOG00000063802
41200290	LOC120093485	U2	ENSRNOG00000059185
41200534	LOC120093234		
41200627	LOC120099128		
41200685	LOC120102325		
41200698	LOC120096955		
41200765	LOC120095009		
41200783	LOC120097836		
41200941	LOC120100407		ENSRNOG00000067359
41200944	LOC120100005		
41200968	LOC120102864		
41201048	Rnu6-651	LOC120100196	ENSRNOG00000069212
41201218	Ccdc69-ps1	LOC120093249	
41201263	Zxdb	LOC120099132	ENSRNOG00000067786;ENSRNOG00000070035
41201319	LOC120096801		ENSRNOG00000064029
41201453	Rnu1-80	LOC120101380;U1	ENSRNOG00000054199
41201467	Vmn2r116l-ps8	LOC120095903	
41201546	LOC120098818		
41201656	LOC120102267		
41201670	Chp1-ps1	LOC120101696	
41201721	Tra2a-ps2	LOC120095582	
41201839	LOC120098986		
41201883	Hbb-b2	LOC120093065	ENSRNOG00000047098
41201926	LOC120101186	5_8S_rRNA	ENSRNOG00000064178
41202102	LOC120098269		ENSRNOG00000066854
41202132	LOC120094979	U6	ENSRNOG00000054740
41202203	LOC120095172		
41202226	LOC120100150		ENSRNOG00000063677
41202251	LOC120095388	SNORA70	ENSRNOG00000053018
41202265	LOC120098512		
41202363	LOC120093724		
41202383	LOC120100098		
41202544	LOC120094352		
41202618	LOC120096971	AABR07017902.2	ENSRNOG00000042103
41202623	LOC120097970		ENSRNOG00000070020
41202626	LOC120098559		
41202653	LOC120097966	U6	ENSRNOG00000055771
41202666	LOC120103298	AABR07050056.1	ENSRNOG00000061098
41202669	LOC120100280		ENSRNOG00000068102
41202743	LOC120095443		ENSRNOG00000071058
41202788	LOC120095904		ENSRNOG00000063866
41202877	LOC120096773	U7	ENSRNOG00000056966
41202894	LOC120096559		
41202940	LOC120095961		
41202954	LOC120098281		
41202999	Rrs1-ps4	LOC120093751	
41203087	LOC120093713		
41203168	Vom1r34l1	LOC120099323	ENSRNOG00000064948
41203172	Rpl30-ps12	LOC120095159	
41203173	LOC120102365		
41203179	Tmem271	ENSRNOG00000070894	ENSRNOG00000070894
41203361	Trnat-agu15	NEWGENE_6576114;Trnat-agu	
41203530	LOC120097351		
41203619	LOC120095598		
41203623	LOC120103260	Snord85	ENSRNOG00000061554
41203638	LOC120095698		
41203672	Pcbp4-ps3	LOC120097459	
41203683	Nip7-ps1	LOC120101025	
41203922	LOC120098829		
41203940	LOC120102612	U7	ENSRNOG00000054316
41204020	LOC120102805		
41204078	Rcn1-ps14	LOC120094829	
41204079	LOC120098214		
41204131	Grb7-ps1	LOC120101620	
41204268	LOC120099694		ENSRNOG00000067717
41204269	Smok2bl	LOC120095012	
41204336	LOC120098363		ENSRNOG00000064768
41204456	Rpl19-ps12	LOC120094647	
41204457	LOC120101303	AABR07009039.1	ENSRNOG00000059078
41204573	LOC120100702		
41204650	LOC120095834		
41204714	LOC120093545		
41204718	LOC120097281	U2	ENSRNOG00000069532
41204719	LOC120098295		
41204737	LOC120099272		ENSRNOG00000067113;ENSRNOG00000070141
41204778	LOC120098421	U4	ENSRNOG00000067352
41204827	LOC120098771		
41204947	LOC120101150		ENSRNOG00000070085
41205097	Trnaa-agc80	NEWGENE_40934091;Trnaa-agc	
41205098	LOC120094876	U7	ENSRNOG00000054500
41205132	LOC120102883		
41205137	LOC120095537		
41205149	LOC120097655	U6	ENSRNOG00000053224
