CHEBI	PUBCHEM
3491	58106737
3492	58106758
3493	92729948
3494	223439268
3495	92740995
3496	223439269
3498	87246432
3499	93578304
3501	223439270
3502	223439271
3503	223439272
3504	87305645
3504	96099266
3505	93581326
3506	92740989
3507	92740961
3508	87322630
3509	87246408
3510	93578305
3512	92740968
3515	26744220
3516	223439273
3517	223439274
3519	223439276
3524	223439277
3528	8147036
3530	223439278
3531	223439279
3532	223439280
3533	14717874
3534	87246423
3535	93581322
3536	223439281
3537	87246410
3540	14718307
3542	56352873
3543	99319092
3545	92740967
3546	223439282
3547	49836646
3555	223439283
3556	223439284
3558	93578306
3559	93581327
3560	223439285
3561	57581408
3565	223439286
3566	8147035
3567	8145868
3568	56464102
3569	223439287
3570	223439288
3572	223439289
3573	223439290
3574	223439291
3575	223439292
3576	135668167
3577	223439293
3578	223439294
3579	223439295
3580	223439296
3581	223439297
3583	223439298
3584	223439299
3586	223439300
3594	223439301
3595	223439302
3602	223439303
3605	49836726
3606	223439304
3608	223439305
3611	46530636
3612	46530651
3613	223439306
3614	24712465
3619	99319101
3620	223439307
3624	223439308
3627	223439309
3628	223439120
3629	223439310
3636	93581328
3637	93578307
3638	26675665
3639	24712292
3640	93578308
3641	56394867
3642	96099262
3643	93581323
3645	223439311
3646	223439312
3647	24398080
3648	24398052
3649	8145867
3650	93578309
3651	56394827
3654	8147034
3655	99313626
3663	26744221
3679	223439313
3680	26676111
3681	223439314
3682	11533492
3684	223439315
3685	223439316
3686	11533317
3687	8147033
3688	11533874
3689	223439317
3690	223439318
3692	223439319
3693	223439320
3695	223439321
3696	93578310
3697	93578311
3699	8147032
3700	223439322
3701	223439323
3702	223439324
3703	92740981
3705	223439325
3706	26676110
3707	26675648
3708	223439326
3711	223439327
3713	223439328
3715	223439329
3716	93578312
3718	223439330
3719	223439331
3720	93578313
3721	124403636
3732	99313627
3734	223439332
3737	223439333
3738	96079549
3739	96079576
3740	160655724
3741	223439334
3743	96079550
3744	96079581
3745	11533316
3746	223439335
3747	223439336
3748	223439337
3749	96079551
3750	8147031
3751	223439115
3752	56352921
3753	56352936
3755	135610155
3756	96079552
3757	26697416
3759	50139451
3760	223439338
3761	96079582
3762	96079577
3763	163425653
3764	11533491
3766	56394870
3767	223439339
3768	223439340
3789	81058793
3790	81058774
3791	81058775
3792	81058776
3793	81058777
3794	81058794
3795	81058778
3796	11533315
3802	223439341
3804	223439342
3805	223439343
3806	223439344
3812	223439345
3814	103158230
3815	223439346
3825	223439347
3826	223439348
3828	124403637
3829	223439349
3830	49742910
